time,rho
0,0.4414
100,0.3971
200,0.3557
300,0.3099
400,0.271
500,0.2416
600,0.2126
700,0.1882
800,0.1696
900,0.1561
1000,0.1425
1100,0.1308
1200,0.1209
1300,0.1153
1400,0.1092
1500,0.1027
1600,0.0978
1700,0.0947
1800,0.0941
1900,0.0907
2000,0.0913
2100,0.0889
2200,0.0856
2300,0.0856
2400,0.0814
2500,0.0807
2600,0.0816
2700,0.0829
2800,0.0814
2900,0.0806
3000,0.0782
3100,0.079
3200,0.0795
3300,0.0804
3400,0.0789
3500,0.0791
3600,0.0768
3700,0.0762
3800,0.0731
3900,0.0727
4000,0.0719
4100,0.0692
4200,0.066
4300,0.0663
4400,0.0666
4500,0.0676
4600,0.0668
4700,0.0644
4800,0.0659
4900,0.0678
5000,0.0681
5100,0.0651
5200,0.063
5300,0.0602
5400,0.0619
5500,0.0609
5600,0.0601
5700,0.0586
5800,0.0551
5900,0.0532
6000,0.0525
6100,0.051
6200,0.0509
6300,0.0515
6400,0.0515
6500,0.0543
6600,0.0555
6700,0.0531
6800,0.0501
6900,0.0506
7000,0.0515
7100,0.051
7200,0.0498
7300,0.0491
7400,0.0486
7500,0.0466
7600,0.0487
7700,0.0479
7800,0.047
7900,0.0442
8000,0.0458
8100,0.0442
8200,0.0428
8300,0.0423
8400,0.0431
8500,0.0448
8600,0.0459
8700,0.045
8800,0.044
8900,0.0417
9000,0.0413
9100,0.0387
9200,0.0402
9300,0.0408
9400,0.039
9500,0.0379
9600,0.0393
9700,0.0381
9800,0.0402
9900,0.0404
10000,0.0406
10100,0.0421
10200,0.0413
10300,0.0417
10400,0.0429
10500,0.0457
10600,0.0467
10700,0.0469
10800,0.0487
10900,0.0497
11000,0.0516
11100,0.0486
11200,0.0488
11300,0.049
11400,0.05
11500,0.0496
11600,0.0476
11700,0.0463
11800,0.0466
11900,0.0463
12000,0.0442
12100,0.046
12200,0.0444
12300,0.0457
12400,0.0451
12500,0.0462
12600,0.0462
12700,0.0447
12800,0.0448
12900,0.0447
13000,0.046
13100,0.0455
13200,0.0448
13300,0.0447
13400,0.0458
13500,0.0445
13600,0.0437
13700,0.0418
13800,0.0443
13900,0.0425
14000,0.0417
14100,0.0395
14200,0.04
14300,0.0386
14400,0.0378
14500,0.0368
14600,0.0329
14700,0.0307
14800,0.0284
14900,0.0289
15000,0.0283
15100,0.0243
15200,0.0233
15300,0.023
15400,0.022
15500,0.0229
15600,0.0241
15700,0.0235
15800,0.0236
15900,0.0239
16000,0.0242
16100,0.0237
16200,0.0234
16300,0.0236
16400,0.0245
16500,0.0252
16600,0.0238
16700,0.0228
16800,0.023
16900,0.023
17000,0.0235
17100,0.0218
17200,0.0226
17300,0.0216
17400,0.0212
17500,0.0222
17600,0.0224
17700,0.0202
17800,0.0192
17900,0.0194
18000,0.0189
18100,0.0201
18200,0.0202
18300,0.02
18400,0.0202
18500,0.0218
18600,0.0226
18700,0.0232
18800,0.025
18900,0.025
19000,0.0228
19100,0.0223
19200,0.0205
19300,0.0202
19400,0.0198
19500,0.0204
19600,0.0195
19700,0.0204
19800,0.0196
19900,0.0208
20000,0.0207
20100,0.021
20200,0.0207
20300,0.0204
20400,0.0195
20500,0.0183
20600,0.0184
20700,0.0193
20800,0.0209
20900,0.021
21000,0.0218
21100,0.0203
21200,0.02
21300,0.0199
21400,0.0181
21500,0.017
21600,0.0155
21700,0.0161
21800,0.0167
21900,0.0172
22000,0.0183
22100,0.02
22200,0.0207
22300,0.0207
22400,0.0194
22500,0.0187
22600,0.0175
22700,0.0178
22800,0.0179
22900,0.0176
23000,0.0175
23100,0.018
23200,0.0183
23300,0.0183
23400,0.0174
23500,0.0162
23600,0.0173
23700,0.0167
23800,0.0156
23900,0.0165
24000,0.0163
24100,0.0163
24200,0.0157
24300,0.0182
24400,0.0166
24500,0.0168
24600,0.0169
24700,0.0181
24800,0.0174
24900,0.0184
25000,0.0193
25100,0.0191
25200,0.0181
25300,0.0175
25400,0.0195
25500,0.0194
25600,0.0178
25700,0.0173
25800,0.0179
25900,0.0169
26000,0.0163
26100,0.0164
26200,0.0164
26300,0.0157
26400,0.0149
26500,0.0147
26600,0.0137
26700,0.0141
26800,0.0133
26900,0.0138
27000,0.0141
27100,0.0139
27200,0.0142
27300,0.0139
27400,0.0134
27500,0.0145
27600,0.0141
27700,0.0125
27800,0.0129
27900,0.0121
28000,0.0121
28100,0.0132
28200,0.0137
28300,0.0146
28400,0.016
28500,0.0157
28600,0.0157
28700,0.016
28800,0.0165
28900,0.0166
29000,0.0184
29100,0.0191
29200,0.0202
29300,0.0191
29400,0.0176
29500,0.0171
29600,0.0165
29700,0.0163
29800,0.0159
29900,0.0139
30000,0.0131
30100,0.0136
30200,0.0121
30300,0.0115
30400,0.0124
30500,0.0125
30600,0.012
30700,0.0126
30800,0.0124
30900,0.0128
31000,0.0121
31100,0.0121
31200,0.0138
31300,0.0134
31400,0.0131
31500,0.0125
31600,0.0116
31700,0.0113
31800,0.0116
31900,0.0127
32000,0.0126
32100,0.0112
32200,0.0108
32300,0.0118
32400,0.0107
32500,0.0099
