time,rho
0,0.4497
100,0.392
200,0.343
300,0.2984
400,0.2654
500,0.2363
600,0.2113
700,0.1865
800,0.1689
900,0.1563
1000,0.1437
1100,0.1326
1200,0.1231
1300,0.1201
1400,0.1123
1500,0.1065
1600,0.1033
1700,0.0989
1800,0.0941
1900,0.0887
2000,0.0864
2100,0.0833
2200,0.0825
2300,0.0831
2400,0.079
2500,0.079
2600,0.0808
2700,0.0786
2800,0.0772
2900,0.0747
3000,0.0735
3100,0.0711
3200,0.0714
3300,0.0705
3400,0.0658
3500,0.0666
3600,0.0642
3700,0.0637
3800,0.0592
3900,0.0581
4000,0.0589
4100,0.055
4200,0.0525
4300,0.0509
4400,0.053
4500,0.0526
4600,0.0514
4700,0.0506
4800,0.0501
4900,0.0518
5000,0.0502
5100,0.0502
5200,0.0501
5300,0.0505
5400,0.0516
5500,0.0505
5600,0.0505
5700,0.0508
5800,0.0492
5900,0.0469
6000,0.0479
6100,0.0482
6200,0.05
6300,0.0511
6400,0.0523
6500,0.0486
6600,0.0458
6700,0.0446
6800,0.0429
6900,0.043
7000,0.0425
7100,0.0437
7200,0.0445
7300,0.0434
7400,0.042
7500,0.0415
7600,0.0421
7700,0.0413
7800,0.0426
7900,0.0417
8000,0.0429
8100,0.0418
8200,0.0406
8300,0.0415
8400,0.0414
8500,0.0403
8600,0.0397
8700,0.0391
8800,0.0383
8900,0.0376
9000,0.0356
9100,0.0375
9200,0.0367
9300,0.0358
9400,0.0356
9500,0.0366
9600,0.0355
9700,0.0345
9800,0.0355
9900,0.0329
10000,0.0315
10100,0.0319
10200,0.032
10300,0.0329
10400,0.033
10500,0.0327
10600,0.0324
10700,0.0331
10800,0.0337
10900,0.0331
11000,0.0316
11100,0.0321
11200,0.0314
11300,0.0293
11400,0.0295
11500,0.0298
11600,0.0284
11700,0.0295
11800,0.0314
11900,0.0315
12000,0.0327
12100,0.0311
12200,0.0302
12300,0.031
12400,0.0302
12500,0.0286
12600,0.0296
12700,0.0293
12800,0.0277
12900,0.0267
13000,0.0267
13100,0.0262
13200,0.0275
13300,0.0279
13400,0.0267
13500,0.0286
13600,0.0282
13700,0.0275
13800,0.0282
13900,0.0272
14000,0.0277
14100,0.0266
14200,0.0233
14300,0.0226
14400,0.024
14500,0.0218
14600,0.0209
14700,0.02
14800,0.0208
14900,0.0199
15000,0.0207
15100,0.0192
15200,0.0216
15300,0.0213
15400,0.0215
15500,0.0223
15600,0.0214
15700,0.0219
15800,0.0224
15900,0.0217
16000,0.0222
16100,0.0219
16200,0.0218
16300,0.0214
16400,0.0217
16500,0.0198
16600,0.0214
16700,0.0222
16800,0.0217
16900,0.0222
17000,0.0236
17100,0.0237
17200,0.0201
17300,0.0198
17400,0.0196
17500,0.0188
17600,0.0216
17700,0.0199
17800,0.0211
17900,0.0206
18000,0.0204
18100,0.0191
18200,0.0192
18300,0.0189
18400,0.0177
18500,0.0179
18600,0.0186
18700,0.0174
18800,0.0175
18900,0.0172
19000,0.017
19100,0.0175
19200,0.0181
19300,0.0178
19400,0.0188
19500,0.0182
19600,0.0198
19700,0.0186
19800,0.0211
19900,0.0201
20000,0.0189
20100,0.0167
20200,0.0178
20300,0.0173
20400,0.0179
20500,0.0183
20600,0.018
20700,0.0189
20800,0.0165
20900,0.0177
21000,0.0164
21100,0.0143
21200,0.0141
21300,0.014
21400,0.0129
21500,0.015
21600,0.0159
21700,0.0174
21800,0.0184
21900,0.0192
22000,0.0193
22100,0.0197
22200,0.02
22300,0.0208
22400,0.0215
22500,0.0213
22600,0.0215
22700,0.0189
22800,0.0164
22900,0.0153
23000,0.0142
23100,0.0142
23200,0.013
23300,0.0138
23400,0.0133
23500,0.0137
23600,0.0134
23700,0.0149
23800,0.0144
23900,0.0141
24000,0.0159
24100,0.0148
24200,0.0144
24300,0.015
24400,0.016
24500,0.0165
24600,0.0145
24700,0.0138
24800,0.0142
24900,0.0151
25000,0.0139
25100,0.0151
25200,0.0148
25300,0.0154
25400,0.0157
25500,0.0154
25600,0.0164
25700,0.0161
25800,0.0157
25900,0.017
26000,0.0169
26100,0.0187
26200,0.0192
26300,0.0191
26400,0.0205
26500,0.0199
26600,0.0197
26700,0.0182
26800,0.0195
26900,0.0188
27000,0.0192
27100,0.0176
27200,0.0168
27300,0.0172
27400,0.0177
27500,0.0172
27600,0.0189
27700,0.0188
27800,0.019
27900,0.0203
28000,0.0198
28100,0.0196
28200,0.0184
28300,0.0183
28400,0.0171
28500,0.0158
28600,0.0155
28700,0.0165
28800,0.0179
28900,0.0198
29000,0.022
29100,0.0228
29200,0.0231
29300,0.0223
29400,0.0222
29500,0.0228
29600,0.0228
29700,0.0227
29800,0.0219
29900,0.0224
30000,0.0226
30100,0.0226
30200,0.0219
30300,0.0239
30400,0.0227
30500,0.0247
30600,0.025
30700,0.0248
30800,0.0257
30900,0.0258
31000,0.0276
31100,0.0278
31200,0.0285
31300,0.0276
31400,0.0275
31500,0.0284
31600,0.0295
31700,0.0311
31800,0.0309
31900,0.0318
32000,0.0306
32100,0.0306
32200,0.0291
32300,0.0273
32400,0.0265
32500,0.0267
32600,0.0253
32700,0.024
32800,0.0219
32900,0.0215
33000,0.0202
33100,0.0217
33200,0.0208
33300,0.0202
33400,0.0195
33500,0.0201
33600,0.0209
33700,0.0222
33800,0.0226
33900,0.0204
34000,0.0211
34100,0.0216
34200,0.0219
34300,0.0223
34400,0.0213
34500,0.0215
34600,0.023
34700,0.0213
34800,0.0216
34900,0.0207
35000,0.0213
35100,0.0229
35200,0.0213
35300,0.0221
35400,0.022
35500,0.0214
35600,0.0212
35700,0.0201
35800,0.0206
35900,0.0207
36000,0.0214
36100,0.0229
36200,0.0244
36300,0.0257
36400,0.026
36500,0.0272
36600,0.0269
36700,0.0281
36800,0.0262
36900,0.0252
37000,0.0251
37100,0.0261
37200,0.0252
37300,0.0252
37400,0.0248
37500,0.0258
37600,0.0259
37700,0.0251
37800,0.0271
37900,0.026
38000,0.0271
38100,0.0286
38200,0.0273
38300,0.0268
38400,0.0268
38500,0.0265
38600,0.027
38700,0.0262
38800,0.0245
38900,0.0265
39000,0.0254
39100,0.0238
39200,0.0243
39300,0.023
39400,0.0201
39500,0.0224
39600,0.0212
39700,0.0195
39800,0.0173
39900,0.017
40000,0.0179
40100,0.0168
40200,0.0172
40300,0.0165
40400,0.0147
40500,0.0139
40600,0.0146
40700,0.0152
40800,0.0164
40900,0.0161
41000,0.0169
41100,0.0148
41200,0.0153
41300,0.0144
41400,0.0145
41500,0.0141
41600,0.0136
41700,0.0134
41800,0.0137
41900,0.0149
42000,0.0151
42100,0.0145
42200,0.0149
42300,0.0145
42400,0.0127
42500,0.0127
42600,0.0128
42700,0.0121
42800,0.0116
42900,0.0118
43000,0.0114
43100,0.0127
43200,0.0125
43300,0.0137
43400,0.0143
43500,0.0136
43600,0.0132
43700,0.0141
43800,0.014
43900,0.0149
44000,0.0165
44100,0.0165
44200,0.0154
44300,0.0147
44400,0.0147
44500,0.0147
44600,0.0142
44700,0.0137
44800,0.0148
44900,0.0148
45000,0.0138
45100,0.0133
45200,0.0137
45300,0.0129
45400,0.0126
45500,0.0113
45600,0.011
45700,0.0099
45800,0.0099
45900,0.0099
46000,0.0092
46100,0.0106
46200,0.0119
46300,0.0117
46400,0.0112
46500,0.0122
46600,0.0125
46700,0.0121
46800,0.0117
46900,0.0115
47000,0.0116
47100,0.0116
47200,0.0108
47300,0.0108
47400,0.0109
47500,0.0104
47600,0.0108
47700,0.0124
47800,0.013
47900,0.0122
48000,0.0123
48100,0.0121
48200,0.0129
48300,0.0133
48400,0.0124
48500,0.0119
48600,0.0107
48700,0.0103
48800,0.0095
48900,0.0094
49000,0.0083
49100,0.0083
49200,0.0074
49300,0.0063
49400,0.0065
49500,0.0066
49600,0.0064
49700,0.0061
49800,0.0062
49900,0.0063
50000,0.0066
50100,0.0076
50200,0.008
50300,0.0076
50400,0.0065
50500,0.0068
50600,0.0076
50700,0.0074
50800,0.0063
50900,0.0064
51000,0.0065
51100,0.0076
51200,0.0087
51300,0.0087
51400,0.0083
51500,0.0088
51600,0.009
51700,0.0092
51800,0.0087
51900,0.008
52000,0.0071
52100,0.008
52200,0.0076
52300,0.008
52400,0.0077
52500,0.0069
52600,0.0076
52700,0.0075
52800,0.0083
52900,0.0082
53000,0.0088
53100,0.0086
53200,0.0088
53300,0.0092
53400,0.009
53500,0.0081
53600,0.0087
53700,0.0087
53800,0.0088
53900,0.0076
54000,0.0079
54100,0.0082
54200,0.0084
54300,0.0093
54400,0.0101
54500,0.0092
54600,0.01
54700,0.0098
54800,0.0111
54900,0.0103
55000,0.0098
55100,0.0103
55200,0.0102
55300,0.0109
55400,0.01
55500,0.0094
55600,0.0088
55700,0.0085
55800,0.0083
55900,0.0084
56000,0.0089
56100,0.0099
56200,0.0102
56300,0.01
56400,0.0091
56500,0.0097
56600,0.0096
56700,0.0106
56800,0.0093
56900,0.0088
57000,0.0078
57100,0.0081
57200,0.0077
57300,0.008
57400,0.0073
57500,0.0074
57600,0.008
57700,0.0086
57800,0.0084
57900,0.0088
58000,0.0084
58100,0.0081
58200,0.0067
58300,0.0074
58400,0.007
58500,0.0078
58600,0.0077
58700,0.0073
58800,0.0072
58900,0.0072
59000,0.0078
59100,0.0077
59200,0.0098
59300,0.01
59400,0.0109
59500,0.0109
59600,0.011
59700,0.0106
59800,0.0111
59900,0.0106
60000,0.0096
60100,0.0081
60200,0.0078
60300,0.007
60400,0.0068
60500,0.0074
60600,0.0073
60700,0.0062
60800,0.0066
60900,0.0072
61000,0.007
61100,0.0071
61200,0.0078
61300,0.0094
61400,0.0095
61500,0.0104
61600,0.0099
61700,0.0089
61800,0.009
61900,0.0096
62000,0.0102
62100,0.0101
62200,0.0108
62300,0.0109
62400,0.011
62500,0.0109
62600,0.0111
62700,0.0111
62800,0.0108
62900,0.0119
63000,0.0112
63100,0.0108
63200,0.0105
63300,0.0103
63400,0.0109
63500,0.0104
63600,0.0109
63700,0.0112
63800,0.0116
63900,0.0117
64000,0.0119
64100,0.0109
64200,0.0109
64300,0.012
64400,0.0119
64500,0.0116
64600,0.0132
64700,0.0119
64800,0.013
64900,0.0125
65000,0.0121
65100,0.0125
65200,0.0132
65300,0.0119
65400,0.0136
65500,0.0133
65600,0.0126
65700,0.0119
65800,0.0119
65900,0.0118
66000,0.0113
66100,0.0105
66200,0.0095
66300,0.0092
66400,0.0086
66500,0.0084
66600,0.0086
66700,0.0095
66800,0.0096
66900,0.0112
67000,0.0114
67100,0.0101
67200,0.0106
67300,0.0093
67400,0.009
67500,0.0094
67600,0.0084
67700,0.0069
67800,0.0068
67900,0.0068
68000,0.007
68100,0.0083
68200,0.0081
68300,0.009
68400,0.0083
68500,0.0079
68600,0.0078
68700,0.0097
68800,0.0086
68900,0.0079
69000,0.0072
69100,0.0071
69200,0.0062
69300,0.0068
69400,0.0067
69500,0.0064
69600,0.0058
69700,0.0065
69800,0.0074
69900,0.0076
70000,0.007
70100,0.0066
70200,0.0056
70300,0.006
70400,0.0066
70500,0.0062
70600,0.0067
70700,0.0058
70800,0.0056
70900,0.006
71000,0.0055
71100,0.005
71200,0.0045
71300,0.0043
71400,0.0038
71500,0.0042
71600,0.0039
71700,0.0035
71800,0.0028
71900,0.0026
72000,0.0023
72100,0.0024
72200,0.0021
72300,0.0023
72400,0.0025
72500,0.002
72600,0.0021
72700,0.0017
72800,0.0014
72900,0.0014
73000,0.002
73100,0.0019
73200,0.002
73300,0.002
73400,0.002
73500,0.0019
73600,0.0018
73700,0.002
73800,0.0022
73900,0.002
74000,0.0025
74100,0.003
74200,0.003
74300,0.0029
74400,0.0036
74500,0.003
74600,0.0032
74700,0.0035
74800,0.0034
74900,0.0035
75000,0.0041
75100,0.004
75200,0.0033
75300,0.0032
75400,0.0027
75500,0.0032
75600,0.0036
75700,0.0037
75800,0.0039
75900,0.0045
76000,0.005
76100,0.0047
76200,0.0047
76300,0.0048
76400,0.0043
76500,0.0048
76600,0.0049
76700,0.0055
76800,0.0057
76900,0.0054
77000,0.0054
77100,0.0051
77200,0.0052
77300,0.005
77400,0.0047
77500,0.005
77600,0.0045
77700,0.0052
77800,0.0058
77900,0.0056
78000,0.0052
78100,0.0054
78200,0.0055
78300,0.0053
78400,0.0058
78500,0.0053
78600,0.0054
78700,0.0048
78800,0.0043
78900,0.0046
79000,0.0052
79100,0.0055
79200,0.0054
79300,0.0062
79400,0.0059
79500,0.0063
79600,0.0061
79700,0.0063
79800,0.0064
79900,0.0069
80000,0.0069
80100,0.0075
80200,0.0062
80300,0.0059
80400,0.0061
80500,0.0054
80600,0.0047
80700,0.0041
80800,0.0043
80900,0.0045
81000,0.0047
81100,0.0052
81200,0.0055
81300,0.0057
81400,0.0057
81500,0.0058
81600,0.0058
81700,0.0063
81800,0.0064
81900,0.0061
82000,0.0053
82100,0.0051
82200,0.0059
82300,0.0055
82400,0.006
82500,0.0062
82600,0.0064
82700,0.0072
82800,0.0066
82900,0.0072
83000,0.0075
83100,0.0064
83200,0.0058
83300,0.006
83400,0.0062
83500,0.0062
83600,0.006
83700,0.0073
83800,0.0074
83900,0.0079
84000,0.0073
84100,0.0068
84200,0.0069
84300,0.0074
84400,0.0079
84500,0.0071
84600,0.0079
84700,0.0077
84800,0.0085
84900,0.009
85000,0.0099
85100,0.0091
85200,0.0092
85300,0.0104
85400,0.0098
85500,0.0076
85600,0.0073
85700,0.0087
85800,0.0079
85900,0.0079
86000,0.0069
86100,0.0064
86200,0.0064
86300,0.0055
86400,0.0058
86500,0.0068
86600,0.0059
86700,0.0063
86800,0.006
86900,0.0051
87000,0.0044
87100,0.0034
87200,0.0037
87300,0.0039
87400,0.004
87500,0.0039
87600,0.0053
87700,0.0062
87800,0.0061
87900,0.0056
88000,0.0057
88100,0.0051
88200,0.005
88300,0.0049
88400,0.0038
88500,0.0037
88600,0.0033
88700,0.0032
88800,0.0023
88900,0.0027
89000,0.0033
89100,0.0031
89200,0.003
89300,0.0029
