time,rho
0,0.4491
100,0.394
200,0.3402
300,0.2934
400,0.2588
500,0.2224
600,0.2006
700,0.1793
800,0.163
900,0.1471
1000,0.138
1100,0.1313
1200,0.1199
1300,0.111
1400,0.1082
1500,0.1032
1600,0.0986
1700,0.096
1800,0.0915
1900,0.0897
2000,0.0869
2100,0.0886
2200,0.0872
2300,0.0866
2400,0.0853
2500,0.0818
2600,0.0806
2700,0.0767
2800,0.0756
2900,0.0753
3000,0.0763
3100,0.0759
3200,0.0791
3300,0.0808
3400,0.0807
3500,0.0801
3600,0.08
3700,0.0766
3800,0.0761
3900,0.0717
4000,0.0719
4100,0.0734
4200,0.0733
4300,0.0717
4400,0.0701
4500,0.0711
4600,0.0723
4700,0.0732
4800,0.073
4900,0.0704
5000,0.0663
5100,0.0639
5200,0.0636
5300,0.064
5400,0.0622
5500,0.06
5600,0.0594
5700,0.0573
5800,0.0583
5900,0.0578
6000,0.0569
6100,0.0573
6200,0.0536
6300,0.0509
6400,0.0522
6500,0.0521
6600,0.0513
6700,0.052
6800,0.0525
6900,0.0498
7000,0.0493
7100,0.0487
7200,0.0449
7300,0.0433
7400,0.0407
7500,0.0422
7600,0.0416
7700,0.0402
7800,0.0427
7900,0.0452
8000,0.0458
8100,0.0436
8200,0.0441
8300,0.0463
8400,0.0467
8500,0.0465
8600,0.0442
8700,0.0435
8800,0.0411
8900,0.0389
9000,0.039
9100,0.0382
9200,0.0386
9300,0.0383
9400,0.0413
9500,0.04
9600,0.0411
9700,0.0379
9800,0.0395
9900,0.039
10000,0.0391
10100,0.0352
10200,0.0336
10300,0.0353
10400,0.0357
10500,0.0391
10600,0.036
10700,0.0341
10800,0.0351
10900,0.0352
11000,0.0349
11100,0.0372
11200,0.0377
11300,0.0391
11400,0.0374
11500,0.0377
11600,0.0392
11700,0.0389
11800,0.038
11900,0.0358
12000,0.0353
12100,0.0364
12200,0.0377
12300,0.0377
12400,0.0365
12500,0.0371
12600,0.0387
12700,0.0378
12800,0.0376
12900,0.0374
13000,0.0375
13100,0.0398
13200,0.0382
13300,0.036
13400,0.0367
13500,0.0354
13600,0.0358
13700,0.0348
13800,0.0347
13900,0.031
14000,0.032
14100,0.0326
14200,0.0334
14300,0.0321
14400,0.0322
14500,0.0342
14600,0.0347
14700,0.0336
14800,0.0341
14900,0.0353
15000,0.0346
15100,0.0344
15200,0.0339
15300,0.0335
15400,0.0325
15500,0.0325
15600,0.0318
15700,0.0317
15800,0.0318
15900,0.0308
16000,0.0296
16100,0.03
16200,0.0293
16300,0.028
16400,0.0289
16500,0.026
16600,0.0274
16700,0.0272
16800,0.0245
16900,0.0234
17000,0.0235
17100,0.0224
17200,0.0232
17300,0.0229
17400,0.0245
17500,0.0235
17600,0.0229
17700,0.0232
17800,0.0237
17900,0.0241
18000,0.0236
18100,0.0222
18200,0.0215
18300,0.0215
18400,0.0203
18500,0.0213
18600,0.022
18700,0.0228
18800,0.0222
18900,0.022
19000,0.0224
19100,0.0237
19200,0.022
19300,0.0218
19400,0.0229
19500,0.022
19600,0.0225
19700,0.0224
19800,0.0211
19900,0.0212
20000,0.0234
20100,0.0223
20200,0.0221
20300,0.022
20400,0.0218
20500,0.0226
20600,0.0235
20700,0.0244
20800,0.0241
20900,0.0249
21000,0.0258
21100,0.0259
21200,0.0249
21300,0.025
21400,0.0252
21500,0.027
21600,0.0265
21700,0.0263
21800,0.0237
21900,0.0232
22000,0.0245
22100,0.0236
22200,0.0222
22300,0.0236
22400,0.0229
22500,0.0237
22600,0.0229
22700,0.024
22800,0.0235
22900,0.0226
23000,0.0225
23100,0.0226
23200,0.0207
23300,0.0229
23400,0.0231
23500,0.0219
23600,0.0223
23700,0.0214
23800,0.0227
23900,0.0206
24000,0.0229
24100,0.0247
24200,0.0223
24300,0.0249
24400,0.027
24500,0.0279
24600,0.0285
24700,0.0268
24800,0.026
24900,0.0247
25000,0.0251
25100,0.0238
25200,0.0243
25300,0.0243
25400,0.0228
25500,0.0218
