time,rho
0,0.4512
100,0.4038
200,0.3627
300,0.3214
400,0.2773
500,0.2438
600,0.22
700,0.2021
800,0.1835
900,0.1619
1000,0.1497
1100,0.1365
1200,0.127
1300,0.1211
1400,0.1119
1500,0.1073
1600,0.1072
1700,0.1079
1800,0.1009
1900,0.0961
2000,0.0959
2100,0.091
2200,0.0905
2300,0.0879
2400,0.0883
2500,0.0838
2600,0.084
2700,0.0835
2800,0.0816
2900,0.0797
3000,0.0808
3100,0.079
3200,0.0761
3300,0.0755
3400,0.0744
3500,0.0696
3600,0.069
3700,0.0671
3800,0.0673
3900,0.0653
4000,0.0626
4100,0.0634
4200,0.0676
4300,0.0661
4400,0.0645
4500,0.0637
4600,0.0631
4700,0.0641
4800,0.061
4900,0.0599
5000,0.058
5100,0.0605
5200,0.0625
5300,0.0636
5400,0.0626
5500,0.0611
5600,0.0593
5700,0.0586
5800,0.0578
5900,0.0573
6000,0.056
6100,0.0573
6200,0.0598
6300,0.0615
6400,0.0608
6500,0.0622
6600,0.0636
6700,0.0628
6800,0.0629
6900,0.0615
7000,0.0614
7100,0.0609
7200,0.0576
7300,0.0597
7400,0.0571
7500,0.0529
7600,0.053
7700,0.0508
7800,0.0502
7900,0.0476
8000,0.0515
8100,0.0515
8200,0.0543
8300,0.0511
8400,0.048
8500,0.0486
8600,0.0495
8700,0.0498
8800,0.0497
8900,0.0503
9000,0.0527
9100,0.0533
9200,0.0533
9300,0.0528
9400,0.0504
9500,0.0487
9600,0.0489
9700,0.0454
9800,0.0436
9900,0.043
10000,0.0431
10100,0.0432
10200,0.0437
10300,0.0425
10400,0.0443
10500,0.0444
10600,0.046
10700,0.0445
10800,0.0455
10900,0.044
11000,0.0448
11100,0.0436
11200,0.0423
11300,0.0423
11400,0.0412
11500,0.0408
11600,0.0413
11700,0.0409
11800,0.0384
11900,0.0392
12000,0.0388
12100,0.0382
12200,0.0379
12300,0.0366
12400,0.0348
12500,0.0353
12600,0.0369
12700,0.0374
12800,0.0391
12900,0.0396
13000,0.0382
13100,0.039
13200,0.0399
13300,0.041
13400,0.0422
13500,0.0427
13600,0.0401
13700,0.0398
13800,0.0408
13900,0.0415
14000,0.0418
14100,0.041
14200,0.0405
14300,0.0379
14400,0.0353
14500,0.0358
14600,0.0366
14700,0.0368
14800,0.036
14900,0.0356
15000,0.0331
15100,0.0323
15200,0.0317
15300,0.0318
15400,0.034
15500,0.0344
15600,0.035
15700,0.0344
15800,0.0365
15900,0.0387
16000,0.0384
16100,0.0411
16200,0.0399
16300,0.0414
16400,0.0416
16500,0.0402
16600,0.0401
16700,0.0379
16800,0.0377
16900,0.039
17000,0.0385
17100,0.0399
17200,0.0395
17300,0.0395
17400,0.0394
17500,0.0407
17600,0.0433
17700,0.043
17800,0.0411
17900,0.0399
18000,0.0413
18100,0.0399
18200,0.0394
18300,0.039
18400,0.0377
18500,0.0381
18600,0.0357
18700,0.0357
18800,0.0366
18900,0.0376
19000,0.0364
19100,0.0367
19200,0.0365
19300,0.0359
19400,0.0365
19500,0.0359
19600,0.0338
19700,0.0346
19800,0.0347
19900,0.0362
20000,0.038
20100,0.0391
20200,0.0389
20300,0.0391
20400,0.0398
20500,0.0415
20600,0.0422
20700,0.042
20800,0.0393
20900,0.0387
21000,0.039
21100,0.0397
21200,0.0389
21300,0.0385
21400,0.0401
21500,0.0416
21600,0.0406
21700,0.0385
21800,0.038
21900,0.037
22000,0.0372
22100,0.0371
22200,0.0392
22300,0.0383
22400,0.0368
22500,0.0372
22600,0.0374
22700,0.0405
22800,0.0418
22900,0.0434
23000,0.0446
23100,0.0448
23200,0.047
23300,0.0477
23400,0.0482
23500,0.0485
23600,0.0467
23700,0.0457
23800,0.0458
23900,0.0451
24000,0.0472
24100,0.0464
24200,0.0466
24300,0.0463
24400,0.0451
24500,0.0444
24600,0.0458
24700,0.0447
24800,0.0444
24900,0.0458
25000,0.0471
25100,0.0448
25200,0.0442
25300,0.0415
25400,0.0406
25500,0.0416
25600,0.0433
25700,0.0417
25800,0.0442
25900,0.0467
26000,0.0441
26100,0.0403
26200,0.0423
26300,0.0424
26400,0.0429
26500,0.0409
26600,0.041
26700,0.0393
26800,0.0389
26900,0.0376
27000,0.0387
27100,0.0387
27200,0.0385
27300,0.0374
27400,0.0387
27500,0.0376
27600,0.0353
27700,0.0342
27800,0.0367
27900,0.0383
28000,0.0414
28100,0.0407
28200,0.0413
28300,0.0395
28400,0.042
28500,0.0448
28600,0.0455
28700,0.0446
28800,0.0435
28900,0.0446
29000,0.0451
29100,0.0427
29200,0.04
29300,0.0372
29400,0.0366
29500,0.0373
29600,0.0389
29700,0.039
29800,0.0368
29900,0.0355
30000,0.0361
30100,0.0352
30200,0.0381
30300,0.0357
30400,0.0334
30500,0.0369
30600,0.0374
30700,0.0392
30800,0.0396
30900,0.0391
31000,0.0358
31100,0.0361
31200,0.036
31300,0.0345
31400,0.0337
31500,0.0344
31600,0.0368
31700,0.0375
31800,0.0367
31900,0.0388
32000,0.0389
32100,0.0375
32200,0.035
32300,0.0345
32400,0.0325
32500,0.032
32600,0.0314
32700,0.0312
32800,0.0318
32900,0.0318
33000,0.0329
33100,0.0322
33200,0.0306
33300,0.0304
33400,0.0301
33500,0.0317
33600,0.0333
33700,0.0312
33800,0.0299
33900,0.0279
34000,0.0272
34100,0.0292
34200,0.0259
34300,0.0239
34400,0.0243
34500,0.0253
34600,0.0255
34700,0.0261
34800,0.0272
34900,0.0268
35000,0.0266
35100,0.0249
35200,0.0246
35300,0.0247
35400,0.0266
35500,0.0273
35600,0.0274
35700,0.0261
35800,0.027
35900,0.0282
36000,0.0291
36100,0.0294
36200,0.0273
36300,0.028
36400,0.0277
36500,0.0285
36600,0.0293
36700,0.0285
36800,0.0278
36900,0.0275
37000,0.028
37100,0.0293
37200,0.0303
37300,0.029
37400,0.0262
37500,0.0263
37600,0.0267
37700,0.0247
37800,0.0239
37900,0.0224
38000,0.0219
38100,0.0207
38200,0.021
38300,0.0205
38400,0.0213
38500,0.0215
38600,0.0213
38700,0.0212
38800,0.0216
38900,0.0213
39000,0.0203
39100,0.0198
39200,0.0195
39300,0.0204
39400,0.0203
39500,0.0188
39600,0.0182
39700,0.0186
39800,0.0174
39900,0.0171
40000,0.0163
40100,0.0166
40200,0.0157
40300,0.0158
40400,0.0159
40500,0.0163
40600,0.0161
40700,0.0157
40800,0.0162
40900,0.0167
41000,0.0179
41100,0.0189
41200,0.0196
41300,0.019
41400,0.0189
41500,0.0192
41600,0.0183
41700,0.0176
41800,0.0172
41900,0.0149
42000,0.0157
42100,0.0146
42200,0.0136
42300,0.0134
42400,0.0142
42500,0.0159
42600,0.0165
42700,0.0154
42800,0.0156
42900,0.0155
43000,0.0149
43100,0.0133
43200,0.0134
43300,0.0139
43400,0.0135
43500,0.0115
43600,0.0114
43700,0.0118
43800,0.0112
43900,0.0105
44000,0.01
44100,0.0106
44200,0.0103
44300,0.012
44400,0.0129
44500,0.0127
44600,0.0127
44700,0.0126
44800,0.012
44900,0.0128
45000,0.0128
45100,0.0126
45200,0.014
45300,0.0147
45400,0.0145
45500,0.0145
45600,0.0154
45700,0.0145
45800,0.0132
45900,0.0119
46000,0.0121
46100,0.0134
46200,0.013
46300,0.0127
46400,0.0125
46500,0.0128
46600,0.012
46700,0.0111
46800,0.0113
46900,0.0106
47000,0.0109
47100,0.0111
47200,0.0116
47300,0.0108
47400,0.0107
47500,0.0097
47600,0.0089
47700,0.0085
47800,0.0083
47900,0.0089
48000,0.011
48100,0.0114
48200,0.011
48300,0.0104
48400,0.0112
48500,0.0109
48600,0.0111
48700,0.0105
48800,0.0121
48900,0.0121
49000,0.0119
49100,0.0111
49200,0.0119
49300,0.0121
49400,0.0121
49500,0.0108
49600,0.0107
49700,0.0097
49800,0.0095
49900,0.0105
50000,0.0101
50100,0.01
50200,0.0095
50300,0.0093
50400,0.0088
50500,0.0087
50600,0.0094
50700,0.0084
50800,0.0075
50900,0.0072
51000,0.0086
51100,0.0083
51200,0.0086
51300,0.0085
51400,0.0086
51500,0.0092
51600,0.0088
51700,0.0083
51800,0.0074
51900,0.0079
52000,0.0073
52100,0.0069
52200,0.0067
52300,0.0059
52400,0.0052
52500,0.0054
52600,0.0046
52700,0.0045
52800,0.0039
52900,0.0037
53000,0.0031
53100,0.0024
53200,0.0023
53300,0.0024
53400,0.0027
53500,0.0028
53600,0.0024
53700,0.0027
53800,0.0024
53900,0.0027
54000,0.0034
54100,0.0036
54200,0.0043
54300,0.0043
54400,0.0041
54500,0.0049
54600,0.0051
54700,0.0042
54800,0.004
54900,0.0035
55000,0.004
55100,0.0037
55200,0.004
55300,0.0039
55400,0.0038
55500,0.0038
55600,0.0038
55700,0.0034
55800,0.0033
55900,0.0042
56000,0.0043
56100,0.0046
56200,0.0039
56300,0.0045
56400,0.0036
56500,0.0041
56600,0.0035
56700,0.0037
56800,0.0036
56900,0.0034
57000,0.0028
57100,0.0022
57200,0.0022
57300,0.0026
57400,0.0022
57500,0.0024
57600,0.0018
57700,0.0018
57800,0.0021
57900,0.0021
58000,0.0024
58100,0.0027
58200,0.0028
58300,0.0033
58400,0.0029
58500,0.0025
58600,0.0022
58700,0.0021
58800,0.0031
58900,0.0031
59000,0.0033
59100,0.0043
59200,0.0049
59300,0.0048
59400,0.0039
59500,0.0039
59600,0.0039
59700,0.0038
59800,0.0037
59900,0.0041
60000,0.0042
60100,0.0039
60200,0.0037
60300,0.004
60400,0.0044
60500,0.0043
60600,0.0042
60700,0.0048
60800,0.0048
60900,0.0053
61000,0.0049
61100,0.0048
61200,0.0045
61300,0.0044
61400,0.0041
61500,0.0044
61600,0.0045
61700,0.0038
61800,0.0041
61900,0.0036
62000,0.0037
62100,0.0034
62200,0.0033
62300,0.003
62400,0.0032
62500,0.0033
62600,0.0042
62700,0.004
62800,0.0038
62900,0.0028
63000,0.0034
63100,0.0035
63200,0.0034
63300,0.0038
63400,0.0041
63500,0.0039
63600,0.0038
63700,0.0041
63800,0.004
63900,0.0037
64000,0.0033
64100,0.0035
64200,0.0038
64300,0.0033
64400,0.0038
64500,0.004
64600,0.0037
64700,0.0028
64800,0.0032
64900,0.003
65000,0.0027
65100,0.0026
65200,0.003
65300,0.0029
65400,0.0036
65500,0.0037
65600,0.0033
65700,0.0034
65800,0.0036
65900,0.004
66000,0.0046
66100,0.0042
66200,0.0044
66300,0.0041
66400,0.0044
66500,0.0052
66600,0.0051
66700,0.005
66800,0.0049
66900,0.0044
67000,0.0041
67100,0.0044
67200,0.0038
67300,0.0036
67400,0.0043
67500,0.0043
67600,0.0036
67700,0.0037
67800,0.0031
67900,0.0027
68000,0.0026
68100,0.0019
68200,0.0024
68300,0.0023
68400,0.0022
68500,0.0022
68600,0.0016
68700,0.0015
68800,0.0015
68900,0.0017
69000,0.0019
69100,0.0021
69200,0.002
69300,0.0023
69400,0.0021
69500,0.0024
69600,0.0025
69700,0.003
69800,0.0031
69900,0.0033
70000,0.0025
70100,0.0023
70200,0.0024
70300,0.002
70400,0.0025
70500,0.0023
