time,rho
0,0.4442
100,0.3971
200,0.3495
300,0.307
400,0.2676
500,0.2328
600,0.2044
700,0.1875
800,0.1657
900,0.1462
1000,0.1408
1100,0.1305
1200,0.1209
1300,0.1138
1400,0.1052
1500,0.1001
1600,0.0985
1700,0.0944
1800,0.0882
1900,0.088
2000,0.0837
2100,0.079
2200,0.0769
2300,0.0726
2400,0.0709
2500,0.0696
2600,0.0683
2700,0.0674
2800,0.0683
2900,0.066
3000,0.0659
3100,0.0651
3200,0.0661
3300,0.0663
3400,0.0663
3500,0.0642
3600,0.0645
3700,0.0637
3800,0.0635
3900,0.0619
4000,0.0595
4100,0.059
4200,0.0587
4300,0.0581
4400,0.0555
4500,0.0544
4600,0.0538
4700,0.0545
4800,0.0546
4900,0.054
5000,0.0538
5100,0.0525
5200,0.0538
5300,0.0518
5400,0.051
5500,0.0515
5600,0.0531
5700,0.0527
5800,0.051
5900,0.0489
6000,0.0464
6100,0.044
6200,0.0436
6300,0.0404
6400,0.0413
6500,0.0426
6600,0.0429
6700,0.0431
6800,0.0421
6900,0.0419
7000,0.0441
7100,0.0447
7200,0.0459
7300,0.0446
7400,0.0447
7500,0.0434
7600,0.0451
7700,0.0453
7800,0.0466
7900,0.0464
8000,0.0467
8100,0.046
8200,0.0462
8300,0.0467
8400,0.045
8500,0.0473
8600,0.0464
8700,0.0462
8800,0.0472
8900,0.0477
9000,0.0468
9100,0.0451
9200,0.0462
9300,0.0468
9400,0.0467
9500,0.045
9600,0.0463
9700,0.0457
9800,0.0458
9900,0.0436
10000,0.0438
10100,0.0433
10200,0.0438
10300,0.0433
10400,0.0427
10500,0.0412
10600,0.044
10700,0.0448
10800,0.0426
10900,0.0428
11000,0.0415
11100,0.0428
11200,0.0418
11300,0.0423
11400,0.0399
11500,0.0425
11600,0.0416
11700,0.0417
11800,0.0412
11900,0.0412
12000,0.0421
12100,0.0431
12200,0.0409
12300,0.0435
12400,0.0427
12500,0.0417
12600,0.0438
12700,0.044
12800,0.0436
12900,0.0436
13000,0.0414
13100,0.043
13200,0.0418
13300,0.041
13400,0.0407
13500,0.0419
13600,0.0417
13700,0.0413
13800,0.0406
13900,0.0392
14000,0.0361
14100,0.0364
14200,0.0372
14300,0.0378
14400,0.0358
14500,0.035
14600,0.0339
14700,0.0343
14800,0.0343
14900,0.033
15000,0.0313
15100,0.0296
15200,0.0285
15300,0.0265
15400,0.0243
15500,0.0239
15600,0.023
15700,0.0221
15800,0.0232
15900,0.023
16000,0.0225
16100,0.0227
16200,0.0242
16300,0.0243
16400,0.025
16500,0.0227
16600,0.0219
16700,0.0221
16800,0.0222
16900,0.0232
17000,0.0242
17100,0.0228
17200,0.0207
17300,0.0211
17400,0.0217
17500,0.0237
17600,0.0232
17700,0.0226
17800,0.0244
17900,0.0247
18000,0.0242
18100,0.0251
18200,0.0253
18300,0.026
18400,0.0264
18500,0.0261
18600,0.0267
18700,0.0267
18800,0.0263
18900,0.0251
19000,0.0255
19100,0.0256
19200,0.0263
19300,0.0256
19400,0.0268
19500,0.0245
19600,0.0239
19700,0.0227
19800,0.0219
19900,0.0234
20000,0.0215
20100,0.0222
20200,0.0237
20300,0.0241
20400,0.024
20500,0.0239
20600,0.0232
20700,0.0224
20800,0.0238
20900,0.0248
21000,0.0252
21100,0.027
21200,0.0246
21300,0.0237
21400,0.0237
21500,0.0236
21600,0.0236
21700,0.0233
21800,0.0222
21900,0.022
22000,0.0216
22100,0.0194
22200,0.0192
22300,0.0178
22400,0.0194
22500,0.0195
22600,0.0206
22700,0.0205
22800,0.0193
22900,0.0193
23000,0.018
23100,0.0193
23200,0.0186
23300,0.0187
23400,0.0183
23500,0.0167
23600,0.0166
