time,rho
0,0.4429
100,0.3941
200,0.3552
300,0.314
400,0.2733
500,0.2424
600,0.2186
700,0.1958
800,0.1758
900,0.1631
1000,0.153
1100,0.1428
1200,0.1322
1300,0.1251
1400,0.1179
1500,0.1106
1600,0.1062
1700,0.1053
1800,0.1033
1900,0.1011
2000,0.0972
2100,0.0967
2200,0.0944
2300,0.0942
2400,0.0893
2500,0.086
2600,0.0868
2700,0.0875
2800,0.0871
2900,0.0841
3000,0.0856
3100,0.0882
3200,0.0861
3300,0.0857
3400,0.0815
3500,0.0811
3600,0.0784
3700,0.0811
3800,0.0821
3900,0.0837
4000,0.0828
4100,0.0817
4200,0.0796
4300,0.0796
4400,0.0823
4500,0.079
4600,0.0766
4700,0.0753
4800,0.0744
4900,0.0745
5000,0.0728
5100,0.0727
5200,0.0749
5300,0.0717
5400,0.0735
5500,0.0741
5600,0.0721
5700,0.0688
5800,0.0653
5900,0.0667
6000,0.0674
6100,0.0667
6200,0.0653
6300,0.0641
6400,0.0656
6500,0.0677
6600,0.0654
6700,0.0648
6800,0.0649
6900,0.0652
7000,0.0667
7100,0.0664
7200,0.0672
7300,0.068
7400,0.0701
7500,0.0668
7600,0.0661
7700,0.0638
7800,0.0652
7900,0.066
8000,0.0656
8100,0.0623
8200,0.0621
8300,0.0599
8400,0.0619
8500,0.0624
8600,0.0656
8700,0.0654
8800,0.0609
8900,0.0582
9000,0.0562
9100,0.0553
9200,0.0543
9300,0.0516
9400,0.0521
9500,0.0496
9600,0.048
9700,0.0473
9800,0.0489
9900,0.048
10000,0.047
10100,0.0458
10200,0.0468
10300,0.0487
10400,0.0463
10500,0.0468
10600,0.048
10700,0.0492
10800,0.0471
10900,0.0481
11000,0.0492
11100,0.0484
11200,0.0491
11300,0.0489
11400,0.0481
11500,0.0471
11600,0.0485
11700,0.0461
11800,0.0457
11900,0.0449
12000,0.0461
12100,0.0474
12200,0.0465
12300,0.0443
12400,0.0448
12500,0.049
12600,0.0494
12700,0.0471
12800,0.0449
12900,0.0435
13000,0.0424
13100,0.0399
13200,0.0378
13300,0.0356
13400,0.0351
13500,0.0343
13600,0.0331
13700,0.0344
13800,0.0342
13900,0.0315
14000,0.0329
14100,0.0349
14200,0.0345
14300,0.0337
14400,0.0345
14500,0.0337
14600,0.0354
14700,0.0353
14800,0.0362
14900,0.0355
15000,0.0366
15100,0.0354
15200,0.0358
15300,0.037
15400,0.0359
15500,0.036
15600,0.0366
15700,0.0366
15800,0.0361
15900,0.0368
16000,0.0354
16100,0.0348
16200,0.0346
16300,0.0355
16400,0.0407
16500,0.039
16600,0.0367
16700,0.0353
16800,0.0355
16900,0.0345
17000,0.0355
17100,0.0359
17200,0.0358
17300,0.0343
17400,0.034
17500,0.0326
17600,0.0317
17700,0.0308
17800,0.0307
17900,0.0296
18000,0.0293
18100,0.0293
18200,0.028
18300,0.0282
18400,0.0277
18500,0.0272
18600,0.0287
18700,0.0283
18800,0.0258
