time,rho
0,0.4386
100,0.3866
200,0.3423
300,0.2988
400,0.2628
500,0.2281
600,0.2028
700,0.1851
800,0.1662
900,0.1559
1000,0.1443
1100,0.1351
1200,0.1276
1300,0.1211
1400,0.1145
1500,0.1098
1600,0.1062
1700,0.103
1800,0.0979
1900,0.0953
2000,0.0958
2100,0.0937
2200,0.0911
2300,0.0859
2400,0.0838
2500,0.0813
2600,0.0786
2700,0.0785
2800,0.0776
2900,0.0761
3000,0.0749
3100,0.0768
3200,0.0812
3300,0.0776
3400,0.077
3500,0.0764
3600,0.0807
3700,0.0815
3800,0.0792
3900,0.0819
4000,0.0797
4100,0.077
4200,0.0761
4300,0.0745
4400,0.0737
4500,0.0714
4600,0.0707
4700,0.0719
4800,0.0724
4900,0.0747
5000,0.0725
5100,0.074
5200,0.0724
5300,0.0726
5400,0.074
5500,0.0701
5600,0.0701
5700,0.069
5800,0.0684
5900,0.0655
6000,0.0671
6100,0.0682
6200,0.0674
6300,0.0646
6400,0.0612
6500,0.0611
6600,0.0615
6700,0.0604
6800,0.0588
6900,0.0594
7000,0.0573
7100,0.0585
7200,0.0607
7300,0.0608
7400,0.0619
7500,0.0603
7600,0.0593
7700,0.0617
7800,0.0618
7900,0.0588
8000,0.0596
8100,0.0569
8200,0.0543
8300,0.0556
8400,0.0571
8500,0.0586
8600,0.0589
8700,0.0593
8800,0.0578
8900,0.0578
9000,0.0593
9100,0.0583
9200,0.0549
9300,0.0552
9400,0.0575
9500,0.0567
9600,0.0561
9700,0.0569
9800,0.0565
9900,0.0568
10000,0.0562
10100,0.0593
10200,0.0609
10300,0.0604
10400,0.0629
10500,0.0606
10600,0.0593
10700,0.0586
10800,0.0598
10900,0.0573
11000,0.0525
11100,0.0524
11200,0.0501
11300,0.0499
11400,0.0495
11500,0.048
11600,0.0477
11700,0.0494
11800,0.0495
11900,0.0468
12000,0.0463
12100,0.0439
12200,0.0435
12300,0.045
12400,0.045
12500,0.0453
12600,0.0424
12700,0.0447
12800,0.0429
12900,0.0414
13000,0.0397
13100,0.0402
13200,0.0372
13300,0.0383
13400,0.0394
13500,0.0396
13600,0.0393
13700,0.0367
13800,0.0377
13900,0.0369
14000,0.0349
14100,0.0385
14200,0.037
14300,0.0345
14400,0.035
14500,0.0335
14600,0.0325
14700,0.033
14800,0.0287
14900,0.0294
15000,0.0308
15100,0.0278
15200,0.0276
15300,0.0316
15400,0.0327
15500,0.0314
15600,0.0302
15700,0.0318
15800,0.0296
15900,0.0287
16000,0.0295
16100,0.0285
16200,0.0286
16300,0.0282
16400,0.0276
16500,0.0265
16600,0.0286
16700,0.0289
16800,0.0284
16900,0.0273
17000,0.0259
17100,0.0254
17200,0.0238
17300,0.0231
17400,0.0216
17500,0.0212
17600,0.0226
17700,0.0212
17800,0.0194
17900,0.0224
18000,0.0218
18100,0.0204
18200,0.0213
18300,0.0211
18400,0.0228
18500,0.0221
18600,0.0211
18700,0.0223
18800,0.0219
18900,0.0232
19000,0.0219
19100,0.0213
19200,0.0222
19300,0.0224
19400,0.0241
19500,0.0245
19600,0.0247
19700,0.0231
19800,0.0238
19900,0.0249
20000,0.0262
20100,0.0273
20200,0.0282
20300,0.0265
20400,0.0262
20500,0.0261
20600,0.0238
20700,0.0229
20800,0.0224
20900,0.0244
21000,0.0236
21100,0.0218
21200,0.0226
21300,0.0233
21400,0.0246
21500,0.0252
21600,0.026
21700,0.0268
21800,0.0283
21900,0.0304
22000,0.029
22100,0.0278
22200,0.028
22300,0.0297
22400,0.0289
22500,0.0278
22600,0.0281
22700,0.0261
22800,0.0251
22900,0.0238
23000,0.0243
23100,0.0257
23200,0.027
23300,0.0266
23400,0.0263
23500,0.0274
23600,0.0271
23700,0.0258
23800,0.0273
23900,0.0267
24000,0.0256
24100,0.0232
24200,0.0226
24300,0.0214
24400,0.0201
24500,0.022
24600,0.0226
24700,0.0235
24800,0.0252
24900,0.0269
25000,0.0281
25100,0.0267
25200,0.0265
25300,0.0278
25400,0.0274
25500,0.0272
25600,0.029
25700,0.0285
25800,0.0303
25900,0.0285
26000,0.0287
26100,0.0288
26200,0.028
26300,0.0258
26400,0.0255
26500,0.0256
26600,0.0246
26700,0.0239
26800,0.0249
26900,0.0234
27000,0.0236
27100,0.0231
27200,0.0232
27300,0.0227
27400,0.0218
27500,0.0218
27600,0.0208
27700,0.0211
27800,0.0219
27900,0.0214
28000,0.0223
28100,0.0213
28200,0.0223
28300,0.0232
28400,0.0248
28500,0.0238
28600,0.0226
28700,0.0223
28800,0.0215
28900,0.0209
29000,0.0207
29100,0.022
29200,0.0209
29300,0.0216
29400,0.0205
29500,0.0208
29600,0.021
29700,0.0206
29800,0.0203
29900,0.0201
30000,0.0207
30100,0.0222
30200,0.0213
30300,0.0197
30400,0.0202
30500,0.0208
30600,0.022
30700,0.0228
30800,0.0235
30900,0.0226
31000,0.0231
31100,0.0214
31200,0.0211
31300,0.0206
31400,0.0208
31500,0.0214
31600,0.0233
31700,0.0231
31800,0.0226
31900,0.0227
32000,0.0234
32100,0.0209
32200,0.0232
32300,0.0216
32400,0.0228
