time,rho
0,0.4448
100,0.3922
200,0.3412
300,0.299
400,0.2635
500,0.2273
600,0.1961
700,0.1763
800,0.1619
900,0.1507
1000,0.14
1100,0.1311
1200,0.126
1300,0.1177
1400,0.1119
1500,0.11
1600,0.1017
1700,0.1011
1800,0.0967
1900,0.0936
2000,0.0937
2100,0.0916
2200,0.0889
2300,0.0894
2400,0.09
2500,0.0902
2600,0.088
2700,0.0912
2800,0.0935
2900,0.094
3000,0.0939
3100,0.0943
3200,0.0925
3300,0.0888
3400,0.0911
3500,0.0887
3600,0.0874
3700,0.0839
3800,0.085
3900,0.0845
4000,0.0805
4100,0.0785
4200,0.0807
4300,0.0838
4400,0.0812
4500,0.0817
4600,0.0801
4700,0.079
4800,0.0761
4900,0.0753
5000,0.0774
5100,0.0748
5200,0.0756
5300,0.0744
5400,0.0753
5500,0.0729
5600,0.0699
5700,0.0683
5800,0.0687
5900,0.0683
6000,0.0673
6100,0.0704
6200,0.068
6300,0.0679
6400,0.0673
6500,0.0666
6600,0.065
6700,0.0654
6800,0.0671
6900,0.0662
7000,0.0655
7100,0.0675
7200,0.0663
7300,0.063
7400,0.0636
7500,0.0626
7600,0.0642
7700,0.0642
7800,0.0629
7900,0.0617
8000,0.0614
8100,0.0617
8200,0.0644
8300,0.0641
8400,0.0633
8500,0.0603
8600,0.0587
8700,0.0579
8800,0.0602
8900,0.0581
9000,0.0581
9100,0.0565
9200,0.0546
9300,0.0522
9400,0.051
9500,0.0532
9600,0.0511
9700,0.0513
9800,0.0506
9900,0.05
10000,0.0496
10100,0.0481
10200,0.0473
10300,0.0469
10400,0.0471
10500,0.0498
10600,0.0525
10700,0.0531
10800,0.0505
10900,0.0473
11000,0.0468
11100,0.0469
11200,0.0455
11300,0.0443
11400,0.0411
11500,0.0408
11600,0.0398
11700,0.038
11800,0.04
11900,0.0409
12000,0.0425
12100,0.0455
12200,0.0439
12300,0.0413
12400,0.041
12500,0.0405
12600,0.0405
12700,0.0386
12800,0.0385
12900,0.0371
13000,0.0381
13100,0.0365
13200,0.0362
13300,0.0385
13400,0.0371
13500,0.0345
13600,0.0348
13700,0.033
13800,0.0343
13900,0.0346
14000,0.0332
14100,0.0328
14200,0.0347
14300,0.0345
14400,0.0342
14500,0.0365
14600,0.0364
14700,0.0367
14800,0.0373
14900,0.0363
15000,0.0347
15100,0.0354
15200,0.0356
15300,0.035
15400,0.0351
15500,0.0343
15600,0.0352
15700,0.0357
15800,0.0338
15900,0.0342
16000,0.0346
16100,0.0342
16200,0.0376
16300,0.0367
16400,0.0353
16500,0.0336
16600,0.0333
16700,0.0349
16800,0.0361
16900,0.0343
17000,0.0353
17100,0.0347
17200,0.0355
17300,0.0374
17400,0.0387
17500,0.0388
17600,0.039
17700,0.0411
17800,0.0415
17900,0.0419
18000,0.04
18100,0.0398
18200,0.0403
18300,0.0387
18400,0.0385
18500,0.0403
18600,0.0374
18700,0.0372
18800,0.0367
18900,0.0382
19000,0.0354
19100,0.0335
19200,0.0339
19300,0.0328
19400,0.0325
19500,0.0316
19600,0.0307
19700,0.0302
19800,0.0315
