time,rho
0,0.448
100,0.3987
200,0.3478
300,0.3105
400,0.2719
500,0.2412
600,0.2135
700,0.1919
800,0.1731
900,0.1629
1000,0.149
1100,0.1378
1200,0.1281
1300,0.1186
1400,0.1143
1500,0.1104
1600,0.1038
1700,0.0988
1800,0.0973
1900,0.094
2000,0.0904
2100,0.0876
2200,0.0859
2300,0.0833
2400,0.0828
2500,0.0831
2600,0.0846
2700,0.0859
2800,0.0813
2900,0.0795
3000,0.079
3100,0.0777
3200,0.0767
3300,0.0742
3400,0.0742
3500,0.0698
3600,0.0711
3700,0.0703
3800,0.0678
3900,0.0673
4000,0.0658
4100,0.0633
4200,0.0628
4300,0.0659
4400,0.0672
4500,0.067
4600,0.0667
4700,0.068
4800,0.0677
4900,0.0642
5000,0.065
5100,0.0657
5200,0.0656
5300,0.0645
5400,0.0641
5500,0.0616
5600,0.0624
5700,0.065
5800,0.0636
5900,0.0635
6000,0.0633
6100,0.0608
6200,0.0603
6300,0.0599
6400,0.0599
6500,0.0592
6600,0.0603
6700,0.061
6800,0.0584
6900,0.0578
7000,0.0583
7100,0.059
7200,0.0575
7300,0.0568
7400,0.0588
7500,0.0591
7600,0.0583
7700,0.0588
7800,0.0601
7900,0.0607
8000,0.0593
8100,0.0581
8200,0.0584
8300,0.06
8400,0.0594
8500,0.0604
8600,0.0606
8700,0.06
8800,0.0579
8900,0.0601
9000,0.0585
9100,0.0581
9200,0.0563
9300,0.0574
9400,0.0573
9500,0.0556
9600,0.0566
9700,0.0574
9800,0.0591
9900,0.0611
10000,0.0609
10100,0.0611
10200,0.0604
10300,0.0581
10400,0.0596
10500,0.0581
10600,0.057
10700,0.058
10800,0.0587
10900,0.0588
11000,0.0594
11100,0.0594
11200,0.0582
11300,0.0579
11400,0.0575
11500,0.0588
11600,0.0589
11700,0.0606
11800,0.0614
11900,0.0609
12000,0.0639
12100,0.0637
12200,0.0626
12300,0.0606
12400,0.0607
12500,0.0609
12600,0.0601
12700,0.0585
12800,0.0566
12900,0.0541
13000,0.0532
13100,0.0529
13200,0.0515
13300,0.0513
13400,0.0505
13500,0.0499
13600,0.0505
13700,0.052
13800,0.0505
13900,0.0493
14000,0.0512
14100,0.047
14200,0.0479
14300,0.0485
14400,0.0498
14500,0.0472
14600,0.0493
14700,0.0486
14800,0.0498
14900,0.0502
15000,0.0506
15100,0.0497
15200,0.0468
15300,0.0458
15400,0.0448
15500,0.0457
15600,0.0466
15700,0.0522
15800,0.0495
15900,0.0495
16000,0.0491
16100,0.0485
16200,0.0477
16300,0.0508
16400,0.052
16500,0.0508
16600,0.0516
16700,0.0499
16800,0.0509
16900,0.0508
17000,0.0501
17100,0.0472
17200,0.0458
17300,0.043
17400,0.0409
17500,0.0382
17600,0.0423
