time,rho
0,0.4471
100,0.3923
200,0.3502
300,0.3126
400,0.2756
500,0.244
600,0.2143
700,0.1916
800,0.1763
900,0.1588
1000,0.1459
1100,0.1335
1200,0.13
1300,0.1216
1400,0.113
1500,0.1116
1600,0.1117
1700,0.1086
1800,0.1052
1900,0.1035
2000,0.1004
2100,0.1004
2200,0.0961
2300,0.0952
2400,0.0981
2500,0.0976
2600,0.0964
2700,0.0982
2800,0.0943
2900,0.0944
3000,0.0865
3100,0.0861
3200,0.0866
3300,0.085
3400,0.0831
3500,0.0824
3600,0.0833
3700,0.0803
3800,0.0786
3900,0.0804
4000,0.0787
4100,0.0799
4200,0.0795
4300,0.0753
4400,0.0764
4500,0.0728
4600,0.0719
4700,0.067
4800,0.0692
4900,0.0677
5000,0.0646
5100,0.0628
5200,0.0649
5300,0.0615
5400,0.0625
5500,0.0598
5600,0.0585
5700,0.0575
5800,0.0571
5900,0.0586
6000,0.0596
6100,0.0598
6200,0.0579
6300,0.0557
6400,0.0544
6500,0.0543
6600,0.0555
6700,0.056
6800,0.0565
6900,0.054
7000,0.0561
7100,0.0568
7200,0.0565
7300,0.058
7400,0.0573
7500,0.0565
7600,0.058
7700,0.0585
7800,0.056
7900,0.0544
8000,0.055
8100,0.055
8200,0.0545
8300,0.0551
8400,0.056
8500,0.0553
8600,0.0512
8700,0.0535
8800,0.0525
8900,0.0537
9000,0.0535
9100,0.0556
9200,0.0534
9300,0.0545
9400,0.0542
9500,0.0523
9600,0.0524
9700,0.0515
9800,0.0488
9900,0.0472
10000,0.0476
10100,0.0462
10200,0.0454
10300,0.0468
10400,0.0476
10500,0.0492
10600,0.0507
10700,0.049
10800,0.0489
10900,0.0471
11000,0.0457
11100,0.0436
11200,0.0407
11300,0.0407
11400,0.0436
11500,0.0442
11600,0.0426
11700,0.0415
11800,0.0414
11900,0.0393
12000,0.0403
12100,0.0392
12200,0.0383
12300,0.0407
12400,0.0371
12500,0.0375
12600,0.0391
12700,0.0383
12800,0.0375
12900,0.0349
13000,0.0322
13100,0.0331
13200,0.0332
13300,0.0346
13400,0.0317
13500,0.0298
13600,0.0293
13700,0.0315
13800,0.0304
13900,0.0286
14000,0.0289
14100,0.0281
14200,0.0282
14300,0.0281
14400,0.0293
14500,0.0296
14600,0.0297
14700,0.0314
14800,0.0327
14900,0.0332
15000,0.0327
15100,0.0323
15200,0.0322
15300,0.0321
15400,0.0313
15500,0.0323
15600,0.0352
15700,0.0351
15800,0.0358
15900,0.0367
16000,0.037
16100,0.0393
16200,0.0391
16300,0.0416
16400,0.0431
16500,0.0443
16600,0.0446
16700,0.0469
16800,0.0485
16900,0.0466
17000,0.0438
17100,0.0434
17200,0.0422
17300,0.0418
17400,0.0424
17500,0.0435
17600,0.0449
17700,0.0462
17800,0.0451
17900,0.0446
18000,0.047
18100,0.0483
18200,0.0483
18300,0.0459
18400,0.0433
18500,0.0435
18600,0.0429
18700,0.0453
18800,0.0436
18900,0.0429
19000,0.042
19100,0.044
19200,0.0443
19300,0.0455
19400,0.044
19500,0.0425
19600,0.0429
19700,0.0428
19800,0.0435
19900,0.0433
20000,0.0429
20100,0.043
20200,0.0445
20300,0.0426
20400,0.0404
20500,0.0426
20600,0.044
20700,0.0406
20800,0.0384
20900,0.037
21000,0.0365
21100,0.036
21200,0.0348
21300,0.0354
21400,0.035
21500,0.0363
21600,0.0355
21700,0.0347
21800,0.034
21900,0.032
22000,0.0318
22100,0.0312
22200,0.0315
22300,0.0322
22400,0.0329
22500,0.0336
22600,0.0364
22700,0.0352
22800,0.0367
22900,0.0356
23000,0.0346
23100,0.0356
23200,0.0326
23300,0.0326
23400,0.0313
23500,0.0309
23600,0.031
23700,0.0302
23800,0.0309
23900,0.0305
24000,0.0309
24100,0.0318
24200,0.0315
24300,0.0307
24400,0.0312
24500,0.0311
24600,0.0299
24700,0.0306
24800,0.0308
24900,0.0328
25000,0.0314
25100,0.0305
25200,0.0322
25300,0.0316
25400,0.0311
25500,0.0307
25600,0.0306
25700,0.0305
25800,0.029
25900,0.0287
26000,0.0289
26100,0.0302
26200,0.0291
26300,0.0305
26400,0.029
26500,0.0283
26600,0.0279
26700,0.0286
26800,0.0296
26900,0.0305
27000,0.0311
27100,0.03
27200,0.0278
27300,0.0271
27400,0.0269
27500,0.0258
27600,0.0242
27700,0.0244
27800,0.0245
27900,0.0244
28000,0.0256
28100,0.0255
28200,0.0273
28300,0.0269
28400,0.0261
28500,0.0252
28600,0.0256
28700,0.026
28800,0.0271
28900,0.0249
29000,0.0241
29100,0.0247
29200,0.0258
29300,0.0267
29400,0.028
29500,0.0283
29600,0.0271
29700,0.0262
29800,0.0264
29900,0.0256
30000,0.0262
30100,0.026
30200,0.0255
30300,0.0269
30400,0.0269
30500,0.0277
30600,0.0269
30700,0.0263
30800,0.0282
30900,0.0294
31000,0.0307
31100,0.0291
31200,0.0306
31300,0.0316
31400,0.0312
31500,0.0318
31600,0.033
31700,0.0314
31800,0.0295
31900,0.0306
32000,0.0306
32100,0.0302
32200,0.0314
32300,0.0314
32400,0.0338
32500,0.0364
32600,0.0361
32700,0.0359
32800,0.0364
32900,0.0357
33000,0.0365
33100,0.0388
33200,0.0389
33300,0.038
33400,0.0397
33500,0.0388
33600,0.0391
33700,0.0395
33800,0.0402
33900,0.04
34000,0.0411
34100,0.0386
34200,0.0378
34300,0.0393
34400,0.0397
34500,0.0426
34600,0.0442
34700,0.0435
34800,0.0416
34900,0.0431
35000,0.0436
35100,0.0448
35200,0.0441
35300,0.0459
35400,0.0438
35500,0.0451
35600,0.0432
35700,0.0433
35800,0.0413
35900,0.0446
36000,0.0427
36100,0.041
36200,0.0413
36300,0.0437
36400,0.0435
36500,0.0451
36600,0.0449
36700,0.0455
36800,0.046
36900,0.0476
37000,0.046
37100,0.0455
37200,0.0441
37300,0.0455
37400,0.0423
37500,0.0421
37600,0.0425
37700,0.0416
37800,0.0401
37900,0.0413
38000,0.0406
38100,0.0401
38200,0.0396
38300,0.0402
38400,0.0384
38500,0.0382
38600,0.0402
38700,0.0401
38800,0.0386
38900,0.0412
39000,0.0408
39100,0.044
39200,0.0425
39300,0.0422
39400,0.0436
39500,0.0441
39600,0.044
39700,0.0444
39800,0.045
39900,0.0465
40000,0.0465
40100,0.0493
40200,0.0495
40300,0.0498
40400,0.0525
40500,0.0509
40600,0.0504
40700,0.0486
40800,0.0483
40900,0.0475
41000,0.0485
41100,0.048
41200,0.0497
41300,0.0491
41400,0.0475
41500,0.0461
41600,0.0451
41700,0.0462
41800,0.0444
41900,0.0422
42000,0.0427
42100,0.04
42200,0.0409
42300,0.0403
42400,0.0426
42500,0.0432
42600,0.0412
42700,0.0409
42800,0.0409
42900,0.0415
43000,0.0417
43100,0.0433
43200,0.0446
43300,0.0442
43400,0.0439
43500,0.0439
43600,0.0445
43700,0.043
43800,0.0435
43900,0.0417
44000,0.0436
44100,0.0444
44200,0.0434
44300,0.0449
44400,0.0437
44500,0.0431
44600,0.0431
44700,0.0433
44800,0.0424
44900,0.0423
45000,0.0415
45100,0.041
45200,0.0399
45300,0.0395
45400,0.0385
45500,0.038
45600,0.0393
45700,0.0425
45800,0.0418
45900,0.0429
46000,0.042
46100,0.0411
46200,0.0409
46300,0.0393
46400,0.04
46500,0.0394
46600,0.0418
46700,0.0414
46800,0.0435
46900,0.0437
47000,0.044
47100,0.0425
47200,0.0429
47300,0.0439
47400,0.0443
47500,0.0444
47600,0.0446
47700,0.0477
47800,0.0462
47900,0.0469
48000,0.0486
48100,0.0481
48200,0.0479
48300,0.0488
48400,0.0479
48500,0.0468
48600,0.0494
48700,0.0482
