time,rho
0,0.4564
100,0.3992
200,0.3482
300,0.3101
400,0.2724
500,0.2408
600,0.2085
700,0.1921
800,0.1724
900,0.1524
1000,0.1464
1100,0.1354
1200,0.1248
1300,0.1182
1400,0.1094
1500,0.1077
1600,0.1032
1700,0.1024
1800,0.1004
1900,0.0942
2000,0.0928
2100,0.0913
2200,0.0901
2300,0.0885
2400,0.0886
2500,0.0892
2600,0.0846
2700,0.0812
2800,0.0777
2900,0.0766
3000,0.0758
3100,0.0755
3200,0.0722
3300,0.0706
3400,0.0725
3500,0.0739
3600,0.074
3700,0.0742
3800,0.0746
3900,0.0755
4000,0.0766
4100,0.0745
4200,0.0721
4300,0.0735
4400,0.0707
4500,0.0699
4600,0.0667
4700,0.0671
4800,0.0622
4900,0.0622
5000,0.0627
5100,0.0622
5200,0.0607
5300,0.0618
5400,0.064
5500,0.0653
5600,0.066
5700,0.0658
5800,0.0652
5900,0.0652
6000,0.0632
6100,0.064
6200,0.0611
6300,0.0626
6400,0.0604
6500,0.0589
6600,0.0647
6700,0.0657
6800,0.065
6900,0.0637
7000,0.0649
7100,0.0664
7200,0.0646
7300,0.0633
7400,0.0634
7500,0.0606
7600,0.0602
7700,0.0616
7800,0.0627
7900,0.0627
8000,0.0632
8100,0.0625
8200,0.0617
8300,0.0611
8400,0.0625
8500,0.0601
8600,0.0592
8700,0.0607
8800,0.0597
8900,0.058
9000,0.0617
9100,0.0612
9200,0.0632
9300,0.0634
9400,0.0651
9500,0.0654
9600,0.0652
9700,0.0628
9800,0.0595
9900,0.0608
10000,0.0613
10100,0.0583
10200,0.0564
10300,0.0562
10400,0.0543
10500,0.0541
10600,0.054
10700,0.0557
10800,0.0571
10900,0.0557
11000,0.0559
11100,0.0551
11200,0.0536
11300,0.0536
11400,0.0537
11500,0.0516
11600,0.0534
11700,0.0531
11800,0.0525
11900,0.0556
12000,0.056
12100,0.0536
12200,0.0527
12300,0.0522
12400,0.051
12500,0.0511
12600,0.0501
12700,0.0521
12800,0.0548
12900,0.0573
13000,0.0568
13100,0.0547
13200,0.0543
13300,0.056
13400,0.0542
13500,0.0522
13600,0.052
13700,0.0499
13800,0.0496
13900,0.0504
14000,0.0499
14100,0.0533
14200,0.0528
14300,0.0506
14400,0.0512
14500,0.0506
14600,0.0498
14700,0.0511
14800,0.0487
14900,0.0489
15000,0.0465
15100,0.045
15200,0.0436
15300,0.043
15400,0.0431
15500,0.0402
15600,0.0386
15700,0.0375
15800,0.0385
15900,0.0402
16000,0.0397
16100,0.0388
16200,0.0362
16300,0.0332
16400,0.0322
16500,0.033
16600,0.033
16700,0.0332
16800,0.0307
16900,0.0296
17000,0.0287
17100,0.0285
17200,0.0281
17300,0.0281
17400,0.0277
17500,0.028
17600,0.0269
17700,0.0276
17800,0.0275
17900,0.0298
18000,0.03
18100,0.031
18200,0.0308
18300,0.0289
18400,0.0286
18500,0.0298
18600,0.0328
18700,0.0315
18800,0.031
18900,0.0315
19000,0.0333
19100,0.0333
19200,0.0322
19300,0.0314
19400,0.0308
19500,0.0322
19600,0.032
19700,0.0318
19800,0.0324
19900,0.03
20000,0.0295
20100,0.0288
20200,0.0296
20300,0.029
20400,0.0295
20500,0.0285
20600,0.0317
20700,0.0294
20800,0.0288
20900,0.03
21000,0.0311
21100,0.0324
21200,0.0335
21300,0.0308
21400,0.0308
21500,0.0312
21600,0.0329
21700,0.0339
21800,0.035
21900,0.0352
22000,0.0346
22100,0.0349
22200,0.0371
22300,0.0366
22400,0.0363
22500,0.0347
22600,0.0349
22700,0.0343
22800,0.0346
22900,0.034
23000,0.032
23100,0.0342
23200,0.0347
23300,0.0336
23400,0.0365
23500,0.0383
23600,0.0393
23700,0.0403
23800,0.0419
23900,0.0414
24000,0.0411
24100,0.0434
24200,0.0451
24300,0.0444
24400,0.0425
24500,0.0434
24600,0.039
24700,0.0381
24800,0.0395
24900,0.0423
25000,0.042
25100,0.0417
25200,0.042
25300,0.0408
25400,0.0411
25500,0.0393
25600,0.0373
25700,0.0379
25800,0.0374
25900,0.0375
26000,0.0393
26100,0.0366
26200,0.0371
26300,0.0355
26400,0.0356
26500,0.036
26600,0.0363
26700,0.0389
26800,0.0379
26900,0.0376
27000,0.0382
27100,0.0368
27200,0.0356
27300,0.0374
27400,0.0388
27500,0.0374
27600,0.0366
27700,0.037
27800,0.0365
27900,0.0364
28000,0.0374
28100,0.0372
28200,0.0371
28300,0.0401
28400,0.0398
28500,0.0392
28600,0.0378
28700,0.0386
28800,0.0397
28900,0.0402
29000,0.0405
29100,0.04
29200,0.0383
29300,0.0401
29400,0.0413
29500,0.0407
29600,0.0388
29700,0.0377
29800,0.0383
29900,0.041
30000,0.0411
30100,0.0417
30200,0.0411
30300,0.0402
30400,0.0426
30500,0.043
30600,0.0414
30700,0.0402
30800,0.0416
30900,0.0433
31000,0.0431
31100,0.0437
31200,0.043
31300,0.043
31400,0.0423
31500,0.0448
31600,0.0443
31700,0.0452
31800,0.0479
31900,0.0496
32000,0.0508
32100,0.0518
32200,0.0485
32300,0.0464
32400,0.0461
32500,0.0476
32600,0.047
32700,0.0442
32800,0.0422
32900,0.0441
33000,0.0416
33100,0.0427
33200,0.0417
33300,0.0394
33400,0.0389
33500,0.038
33600,0.0372
33700,0.0372
33800,0.0354
